Domain,Having_@_symbol,Having_IP,Path,Prefix_suffix_separation,Protocol,Redirection_//_symbol,Sub_domains,URL_Length,age_domain,dns_record,domain_registration_length,http_tokens,label,statistical_report,tiny_url,web_traffic,SSLfinal
asesoresvelfit.com,0,0,"/media/datacredito.co/
",0,http,0,0,0,0,0,1,0,1,0,1,1,1
caixa.com.br.fgtsagendesaqueconta.com,0,0,/consulta8523211/principal.php,0,http,0,1,1,1,1,1,0,1,1,0,1,1
hissoulreason.com,0,0,"/js/homepage/home/
",0,http,0,0,0,1,1,1,0,1,1,0,1,1
unauthorizd.newebpage.com,0,0,"/webapps/66fbf/
",0,http,0,0,0,1,1,1,0,1,1,0,1,1
133.130.103.10,0,1,"/23/
",0,http,0,2,0,0,0,0,0,1,0,0,1,1
dj00.co.vu,1,0,/css/,0,http,0,0,2,1,1,1,0,1,1,0,0,1
133.130.103.10,0,1,"/21/logar/
",0,http,0,2,0,0,0,0,0,1,0,0,1,1
httpssicredi.esy.es,0,0,"/servico/sicredi/validarclientes/mobi/index.php
",0,http,0,2,2,1,0,1,1,1,1,0,1,1
gamesaty.ga,0,0,/wp-content///yh/en/,0,http,1,0,2,1,0,1,0,1,0,0,1,1
luxuryupgradepro.com,0,0,"/ymailNew/ymailNew/
",0,http,0,0,0,2,0,2,0,1,0,0,1,1
133.130.103.10,0,1,"/1/
",0,http,0,2,0,0,0,0,0,1,0,0,1,1
133.130.103.10,0,1,"/24/sicredi/psmlId/31/paneid/index.htm
",0,http,0,1,2,0,0,0,0,1,0,0,1,1
"smscaixaacesso.hol.es
",0,0,,0,http,0,0,0,1,0,1,0,1,1,0,1,1
133.130.103.10,0,1,"/7/SIIBC/siwinCtrl.php
",0,http,0,1,0,0,0,0,0,1,0,0,1,1
tinyurl.com,0,0,"/kjmmw57
",0,http,0,0,0,0,0,0,0,1,0,1,0,1
wrightlandscapes.org,0,0,"/no/T/Y1.html
",0,http,0,0,0,1,0,1,0,1,1,0,1,1
mautic.eto-cms.ru,0,0,"/themes/goldstar/mtbonline/newmandt/
",1,http,0,0,2,0,0,1,0,1,0,0,1,1
ginatringali.com,0,0,"//al/alibaba21012015/alibaba21012015/666/index.html
",0,http,1,0,2,0,0,1,0,1,1,0,1,1
staticmail.000webhostapp.com,0,0,"/
",0,https,0,0,0,0,0,0,0,1,0,0,0,2
umeda.com.br,0,0,"/bba/BOA/home/
",0,http,0,0,0,1,0,1,0,1,1,0,1,1
krishworldwide.com,0,0,"/BackUp/under/js/ayo1/index.html
",0,http,0,0,2,0,0,0,0,1,0,0,1,1
yahoo.co.in,0,0,/email_open_log_pic.php,0,http,0,2,1,0,0,1,0,1,0,0,2,1
www.avcc.ac.in,0,0,"/fonts/1/wropboxp/login.html
",0,http,0,1,0,0,0,1,0,1,0,0,1,1
craig-hallum.ga,0,0,"/sgg/1/login.htm
",1,http,0,0,0,1,0,1,0,1,1,0,1,1
www.verification-mobile-nab.com,0,0,"/cgi/e8e11a52ed442dc4b327eaa2f19c2521/login/
",1,http,0,0,1,1,1,1,0,1,1,0,1,1
verification-mobile-nab.com,0,0,"/cgi/e8e11a52ed442dc4b327eaa2f19c2521/login/
",1,http,0,0,1,1,1,1,0,1,1,0,1,1
www.justpiddlinboutique.com,0,0,"/win/image.htm
",0,http,0,2,0,2,0,1,0,1,0,0,1,1
vcsolutionscorp.com,0,0,"/Block/image.htm
",0,http,0,0,0,1,1,1,0,1,1,0,1,1
almasur.com,0,0,"/wp-includes/pomo/docusign17/
",0,http,0,0,0,1,0,1,0,1,0,0,1,1
asesoresvelfit.com,0,0,"/media/cms/datacredito.co/
",0,http,0,0,0,0,0,1,0,1,0,1,1,1
getpeopleplus.com,0,0,"/EserviceMain/irs/ir/index.html
",0,https,0,0,2,0,0,1,0,1,0,0,2,2
